"Time","DL_MCS"
2022-03-18 22:00:00,
2022-03-19 00:00:00,
2022-03-19 02:00:00,
2022-03-19 04:00:00,
2022-03-19 06:00:00,
2022-03-19 08:00:00,
2022-03-19 10:00:00,
2022-03-19 12:00:00,
2022-03-19 14:00:00,5.916666666666667
2022-03-19 16:00:00,7.625
2022-03-19 18:00:00,7.166666666666667
2022-03-19 20:00:00,6.291666666666667
2022-03-19 22:00:00,9.041666666666666
2022-03-20 00:00:00,7.208333333333333
2022-03-20 02:00:00,6.833333333333333
2022-03-20 04:00:00,6.333333333333333
2022-03-20 06:00:00,7.916666666666667
2022-03-20 08:00:00,6.416666666666667
2022-03-20 10:00:00,7.041666666666667
2022-03-20 12:00:00,6.416666666666667
2022-03-20 14:00:00,7.75
2022-03-20 16:00:00,5.708333333333333
2022-03-20 18:00:00,7.291666666666667
2022-03-20 20:00:00,7.217391304347826
2022-03-20 22:00:00,8.791666666666666
2022-03-21 00:00:00,10.541666666666666
2022-03-21 02:00:00,10.083333333333334
2022-03-21 04:00:00,8.458333333333334
2022-03-21 06:00:00,8.083333333333334
2022-03-21 08:00:00,7.416666666666667
2022-03-21 10:00:00,7.333333333333333
2022-03-21 12:00:00,8.11111111111111
2022-03-21 14:00:00,10
2022-03-21 16:00:00,8.625
2022-03-21 18:00:00,10.333333333333334
2022-03-21 20:00:00,8.583333333333334
2022-03-21 22:00:00,9.958333333333334
2022-03-22 00:00:00,8.791666666666666
2022-03-22 02:00:00,9.208333333333334
2022-03-22 04:00:00,9.333333333333334
2022-03-22 06:00:00,9.416666666666666
2022-03-22 08:00:00,8.708333333333334
2022-03-22 10:00:00,8.458333333333334
2022-03-22 12:00:00,9.791666666666666
2022-03-22 14:00:00,9
2022-03-22 16:00:00,8.791666666666666
2022-03-22 18:00:00,8.75
2022-03-22 20:00:00,9.333333333333334
2022-03-22 22:00:00,9.583333333333334
2022-03-23 00:00:00,9.333333333333334
2022-03-23 02:00:00,9.166666666666666
2022-03-23 04:00:00,10
2022-03-23 06:00:00,9.208333333333334
2022-03-23 08:00:00,8.75
2022-03-23 10:00:00,9.130434782608695
2022-03-23 12:00:00,9.833333333333334
2022-03-23 14:00:00,8.958333333333334
2022-03-23 16:00:00,11.458333333333334
2022-03-23 18:00:00,9.625
2022-03-23 20:00:00,8.666666666666666
2022-03-23 22:00:00,8.043478260869565
2022-03-24 00:00:00,8.25
2022-03-24 02:00:00,8.416666666666666
2022-03-24 04:00:00,9.5
2022-03-24 06:00:00,7.958333333333333
2022-03-24 08:00:00,8.208333333333334
2022-03-24 10:00:00,9.958333333333334
2022-03-24 12:00:00,9.5
2022-03-24 14:00:00,9.791666666666666
2022-03-24 16:00:00,9.666666666666666
2022-03-24 18:00:00,9.208333333333334
2022-03-24 20:00:00,8.041666666666666
2022-03-24 22:00:00,10.125
2022-03-25 00:00:00,11
2022-03-25 02:00:00,9
2022-03-25 04:00:00,9
2022-03-25 06:00:00,10.291666666666666
2022-03-25 08:00:00,8.625
2022-03-25 10:00:00,8.833333333333334
2022-03-25 12:00:00,9.041666666666666
2022-03-25 14:00:00,8.916666666666666
2022-03-25 16:00:00,10.25
2022-03-25 18:00:00,9.166666666666666
2022-03-25 20:00:00,9.083333333333334
2022-03-25 22:00:00,9.25
2022-03-26 00:00:00,9.375
2022-03-26 02:00:00,8.958333333333334
2022-03-26 04:00:00,9.5
2022-03-26 06:00:00,9.083333333333334
2022-03-26 08:00:00,9.625
2022-03-26 10:00:00,8.083333333333334
2022-03-26 12:00:00,8.5
2022-03-26 14:00:00,7.958333333333333
2022-03-26 16:00:00,9.125
2022-03-26 18:00:00,9.25
2022-03-26 20:00:00,9.125
2022-03-26 22:00:00,9.666666666666666
2022-03-27 00:00:00,9.208333333333334
2022-03-27 03:00:00,8.791666666666666
2022-03-27 05:00:00,10
2022-03-27 07:00:00,9.166666666666666
2022-03-27 09:00:00,11.583333333333334
2022-03-27 11:00:00,10.875
2022-03-27 13:00:00,9.875
2022-03-27 15:00:00,9.833333333333334
2022-03-27 17:00:00,9.125
2022-03-27 19:00:00,9.625
2022-03-27 21:00:00,9.291666666666666
2022-03-27 23:00:00,10.166666666666666
2022-03-28 01:00:00,10.916666666666666
2022-03-28 03:00:00,10.541666666666666
2022-03-28 05:00:00,8.541666666666666
2022-03-28 07:00:00,10.291666666666666
2022-03-28 09:00:00,9.041666666666666
2022-03-28 11:00:00,10.333333333333334
2022-03-28 13:00:00,8.958333333333334
2022-03-28 15:00:00,9.625
2022-03-28 17:00:00,9.833333333333334
2022-03-28 19:00:00,9.166666666666666
2022-03-28 21:00:00,9.521739130434783
2022-03-28 23:00:00,10.125
2022-03-29 01:00:00,10.375
2022-03-29 03:00:00,9.708333333333334
2022-03-29 05:00:00,9.25
2022-03-29 07:00:00,9.875
2022-03-29 09:00:00,9.541666666666666
2022-03-29 11:00:00,11.208333333333334
2022-03-29 13:00:00,9.041666666666666
2022-03-29 15:00:00,9.708333333333334
2022-03-29 17:00:00,9.826086956521738
2022-03-29 19:00:00,10.541666666666666
2022-03-29 21:00:00,8.958333333333334
2022-03-29 23:00:00,9.958333333333334
2022-03-30 01:00:00,11.125
2022-03-30 03:00:00,8.916666666666666
2022-03-30 05:00:00,9.75
2022-03-30 07:00:00,10.166666666666666
2022-03-30 09:00:00,9.625
2022-03-30 11:00:00,11.166666666666666
2022-03-30 13:00:00,9.375
2022-03-30 15:00:00,10.708333333333334
2022-03-30 17:00:00,8.125
2022-03-30 19:00:00,11.083333333333334
2022-03-30 21:00:00,8.916666666666666
2022-03-30 23:00:00,7.043478260869565
2022-03-31 01:00:00,6.217391304347826
2022-03-31 03:00:00,6.434782608695652
2022-03-31 05:00:00,7.166666666666667
2022-03-31 07:00:00,3.2916666666666665
2022-03-31 09:00:00,6.608695652173913
2022-03-31 11:00:00,7.666666666666667
2022-03-31 13:00:00,9.416666666666666
2022-03-31 15:00:00,9.916666666666666
2022-03-31 17:00:00,8.833333333333334
2022-03-31 19:00:00,10.125
2022-03-31 21:00:00,11
2022-03-31 23:00:00,8.166666666666666
2022-04-01 01:00:00,9.166666666666666
2022-04-01 03:00:00,9.375
2022-04-01 05:00:00,7.916666666666667
2022-04-01 07:00:00,8.75
2022-04-01 09:00:00,11.333333333333334
2022-04-01 11:00:00,10.458333333333334
2022-04-01 13:00:00,10.166666666666666
2022-04-01 15:00:00,11.666666666666666
2022-04-01 17:00:00,10.541666666666666
2022-04-01 19:00:00,10.208333333333334
2022-04-01 21:00:00,13.333333333333334
2022-04-01 23:00:00,9.291666666666666
2022-04-02 01:00:00,9.666666666666666
2022-04-02 03:00:00,8.916666666666666
2022-04-02 05:00:00,11.25
2022-04-02 07:00:00,10.5
2022-04-02 09:00:00,10.333333333333334
2022-04-02 11:00:00,9.5
2022-04-02 13:00:00,8.75
2022-04-02 15:00:00,9.826086956521738
2022-04-02 17:00:00,8.375
2022-04-02 19:00:00,10.375
2022-04-02 21:00:00,8.708333333333334
2022-04-02 23:00:00,9.416666666666666
2022-04-03 01:00:00,8.291666666666666
2022-04-03 03:00:00,10.416666666666666
2022-04-03 05:00:00,8.541666666666666
2022-04-03 07:00:00,9.041666666666666
2022-04-03 09:00:00,10.583333333333334
2022-04-03 11:00:00,8.458333333333334
2022-04-03 13:00:00,9.375
2022-04-03 15:00:00,8.791666666666666
2022-04-03 17:00:00,8.125
2022-04-03 19:00:00,9.75
2022-04-03 21:00:00,8.125
2022-04-03 23:00:00,9.375
2022-04-04 01:00:00,12.375
2022-04-04 03:00:00,10.5
2022-04-04 05:00:00,8.375
2022-04-04 07:00:00,8.875
2022-04-04 09:00:00,9.458333333333334
2022-04-04 11:00:00,9.833333333333334
2022-04-04 13:00:00,9.833333333333334
2022-04-04 15:00:00,9.041666666666666
2022-04-04 17:00:00,9.375
2022-04-04 19:00:00,9.291666666666666
2022-04-04 21:00:00,10
2022-04-04 23:00:00,8.5
2022-04-05 01:00:00,9.416666666666666
2022-04-05 03:00:00,9.458333333333334
2022-04-05 05:00:00,9.5
2022-04-05 07:00:00,9.041666666666666
2022-04-05 09:00:00,10.708333333333334
2022-04-05 11:00:00,8.833333333333334
2022-04-05 13:00:00,9.166666666666666
2022-04-05 15:00:00,10
2022-04-05 17:00:00,9.375
2022-04-05 19:00:00,9.583333333333334
2022-04-05 21:00:00,10.375
2022-04-05 23:00:00,8.791666666666666
2022-04-06 01:00:00,10.25
2022-04-06 03:00:00,9.125
2022-04-06 05:00:00,9.916666666666666
2022-04-06 07:00:00,9.958333333333334
2022-04-06 09:00:00,9.291666666666666
2022-04-06 11:00:00,10.043478260869565
2022-04-06 13:00:00,10.041666666666666
2022-04-06 15:00:00,7.25
2022-04-06 17:00:00,9.708333333333334
2022-04-06 19:00:00,9.5
2022-04-06 21:00:00,9.041666666666666
2022-04-06 23:00:00,10
2022-04-07 01:00:00,9.333333333333334
2022-04-07 03:00:00,9.5
2022-04-07 05:00:00,10
2022-04-07 07:00:00,9
2022-04-07 09:00:00,9.958333333333334
2022-04-07 11:00:00,10.041666666666666
2022-04-07 13:00:00,9.333333333333334
2022-04-07 15:00:00,9.958333333333334
2022-04-07 17:00:00,11.208333333333334
2022-04-07 19:00:00,9.833333333333334
2022-04-07 21:00:00,11.125
2022-04-07 23:00:00,10.5
2022-04-08 01:00:00,9.875
2022-04-08 03:00:00,11.291666666666666
2022-04-08 05:00:00,10.666666666666666
2022-04-08 07:00:00,9.958333333333334
2022-04-08 09:00:00,7.333333333333333
2022-04-08 11:00:00,7.439102564102564
2022-04-08 13:00:00,7.544871794871795
2022-04-08 15:00:00,7.6506410256410255
2022-04-08 17:00:00,7.756410256410256
2022-04-08 19:00:00,7.862179487179487
2022-04-08 21:00:00,7.967948717948718
2022-04-08 23:00:00,8.073717948717949
2022-04-09 01:00:00,8.179487179487179
2022-04-09 03:00:00,8.28525641025641
2022-04-09 05:00:00,8.39102564102564
2022-04-09 07:00:00,8.496794871794872
2022-04-09 09:00:00,8.602564102564102
2022-04-09 11:00:00,8.708333333333334
2022-04-09 13:00:00,8.814102564102564
2022-04-09 15:00:00,8.919871794871796
2022-04-09 17:00:00,9.025641025641026
2022-04-09 19:00:00,9.131410256410255
2022-04-09 21:00:00,9.237179487179487
2022-04-09 23:00:00,9.342948717948719
2022-04-10 01:00:00,9.448717948717949
2022-04-10 03:00:00,9.554487179487179
2022-04-10 05:00:00,9.66025641025641
2022-04-10 07:00:00,9.76602564102564
2022-04-10 09:00:00,9.871794871794872
2022-04-10 11:00:00,9.977564102564102
2022-04-10 13:00:00,10.083333333333334
2022-04-10 15:00:00,10.189102564102564
2022-04-10 17:00:00,10.294871794871796
2022-04-10 19:00:00,10.400641025641026
2022-04-10 21:00:00,10.506410256410255
2022-04-10 23:00:00,10.612179487179487
2022-04-11 01:00:00,10.717948717948719
2022-04-11 03:00:00,10.823717948717949
2022-04-11 05:00:00,10.929487179487179
2022-04-11 07:00:00,11.03525641025641
2022-04-11 09:00:00,11.141025641025642
2022-04-11 11:00:00,11.246794871794872
2022-04-11 13:00:00,11.352564102564102
2022-04-11 15:00:00,11.458333333333334
2022-04-11 17:00:00,11.564102564102566
2022-04-11 19:00:00,11.669871794871796
2022-04-11 21:00:00,11.775641025641026
2022-04-11 23:00:00,11.881410256410255
2022-04-12 01:00:00,11.987179487179487
2022-04-12 03:00:00,12.092948717948719
2022-04-12 05:00:00,12.198717948717949
2022-04-12 07:00:00,12.304487179487179
2022-04-12 09:00:00,12.41025641025641
2022-04-12 11:00:00,12.516025641025642
2022-04-12 13:00:00,12.621794871794872
2022-04-12 15:00:00,12.727564102564102
2022-04-12 17:00:00,12.833333333333334
2022-04-12 19:00:00,10.458333333333334
2022-04-12 21:00:00,8.041666666666666
2022-04-12 23:00:00,8.416666666666666
2022-04-13 01:00:00,7.875
2022-04-13 03:00:00,7.958333333333333
2022-04-13 05:00:00,8.125
2022-04-13 07:00:00,8.75
2022-04-13 09:00:00,9
2022-04-13 11:00:00,9.208333333333334
2022-04-13 13:00:00,9.583333333333334
2022-04-13 15:00:00,9.625
2022-04-13 17:00:00,11.25
2022-04-13 19:00:00,9.75
2022-04-13 21:00:00,9.75
2022-04-13 23:00:00,9.291666666666666
2022-04-14 01:00:00,8.565217391304348
2022-04-14 03:00:00,11.041666666666666
2022-04-14 05:00:00,9.416666666666666
2022-04-14 07:00:00,8.625
2022-04-14 09:00:00,10.666666666666666
2022-04-14 11:00:00,11.083333333333334
2022-04-14 13:00:00,9.625
2022-04-14 15:00:00,10.291666666666666
2022-04-14 17:00:00,9.916666666666666
2022-04-14 19:00:00,9.583333333333334
2022-04-14 21:00:00,9.875
2022-04-14 23:00:00,10.75
2022-04-15 01:00:00,9.291666666666666
2022-04-15 03:00:00,10.041666666666666
2022-04-15 05:00:00,8.75
2022-04-15 07:00:00,10.083333333333334
2022-04-15 09:00:00,8.333333333333334
2022-04-15 11:00:00,8.833333333333334
2022-04-15 13:00:00,8.958333333333334
2022-04-15 15:00:00,8.541666666666666
2022-04-15 17:00:00,8.666666666666666
2022-04-15 19:00:00,9.541666666666666
2022-04-15 21:00:00,9.541666666666666
2022-04-15 23:00:00,9
2022-04-16 01:00:00,9.791666666666666
2022-04-16 03:00:00,8.041666666666666
2022-04-16 05:00:00,8.125
2022-04-16 07:00:00,8.416666666666666
2022-04-16 09:00:00,7.625
2022-04-16 11:00:00,9.958333333333334
2022-04-16 13:00:00,8.125
2022-04-16 15:00:00,8.708333333333334
2022-04-16 17:00:00,7.916666666666667
2022-04-16 19:00:00,8.333333333333334
2022-04-16 21:00:00,9.25
2022-04-16 23:00:00,8
2022-04-17 01:00:00,7.416666666666667
2022-04-17 03:00:00,9.541666666666666
2022-04-17 05:00:00,8.652173913043478
2022-04-17 07:00:00,9.5
2022-04-17 09:00:00,10.416666666666666
2022-04-17 11:00:00,8.083333333333334
2022-04-17 13:00:00,8.541666666666666
2022-04-17 15:00:00,9.333333333333334
2022-04-17 17:00:00,8.416666666666666
2022-04-17 19:00:00,8.708333333333334
2022-04-17 21:00:00,8
2022-04-17 23:00:00,8.666666666666666
2022-04-18 01:00:00,9.208333333333334
2022-04-18 03:00:00,7.833333333333333
2022-04-18 05:00:00,7.166666666666667
2022-04-18 07:00:00,8.916666666666666
2022-04-18 09:00:00,8.041666666666666
2022-04-18 11:00:00,8.166666666666666
2022-04-18 13:00:00,8.125
2022-04-18 15:00:00,10.041666666666666
2022-04-18 17:00:00,9.458333333333334
2022-04-18 19:00:00,9.583333333333334
2022-04-18 21:00:00,9.583333333333334
2022-04-18 23:00:00,11.75
2022-04-19 01:00:00,8.416666666666666
2022-04-19 03:00:00,8.416666666666666
2022-04-19 05:00:00,11.083333333333334
2022-04-19 07:00:00,7.958333333333333
2022-04-19 09:00:00,8.416666666666666
2022-04-19 11:00:00,8.833333333333334
2022-04-19 13:00:00,10.083333333333334
2022-04-19 15:00:00,8.791666666666666
2022-04-19 17:00:00,8.833333333333334
2022-04-19 19:00:00,8.666666666666666
2022-04-19 21:00:00,9.125
2022-04-19 23:00:00,9.916666666666666
2022-04-20 01:00:00,9.652173913043478
2022-04-20 03:00:00,9.666666666666666
2022-04-20 05:00:00,9.458333333333334
2022-04-20 07:00:00,7.666666666666667
2022-04-20 09:00:00,8.5
2022-04-20 11:00:00,9.833333333333334
2022-04-20 13:00:00,7.833333333333333
2022-04-20 15:00:00,10.166666666666666
2022-04-20 17:00:00,8.416666666666666
2022-04-20 19:00:00,9.166666666666666
2022-04-20 21:00:00,7.458333333333333
2022-04-20 23:00:00,9.958333333333334
2022-04-21 01:00:00,10.291666666666666
2022-04-21 03:00:00,9.375
2022-04-21 05:00:00,8.375
2022-04-21 07:00:00,9.166666666666666
2022-04-21 09:00:00,9.208333333333334
2022-04-21 11:00:00,8.583333333333334
2022-04-21 13:00:00,9.916666666666666
2022-04-21 15:00:00,9.333333333333334
2022-04-21 17:00:00,8.916666666666666
2022-04-21 19:00:00,8.375
2022-04-21 21:00:00,9.391304347826088
2022-04-21 23:00:00,9.25
2022-04-22 01:00:00,11.083333333333334
2022-04-22 03:00:00,11.125
2022-04-22 05:00:00,9.875
2022-04-22 07:00:00,9
2022-04-22 09:00:00,10.125
2022-04-22 11:00:00,8.625
2022-04-22 13:00:00,9.458333333333334
2022-04-22 15:00:00,10.666666666666666
2022-04-22 17:00:00,8.916666666666666
2022-04-22 19:00:00,9.791666666666666
2022-04-22 21:00:00,9.916666666666666
2022-04-22 23:00:00,7.666666666666667
2022-04-23 01:00:00,8.291666666666666
2022-04-23 03:00:00,8.208333333333334
2022-04-23 05:00:00,11.666666666666666
2022-04-23 07:00:00,7.291666666666667
2022-04-23 09:00:00,8.458333333333334
2022-04-23 11:00:00,12
2022-04-23 13:00:00,8.166666666666666
2022-04-23 15:00:00,9.083333333333334
2022-04-23 17:00:00,9.625
2022-04-23 19:00:00,11.041666666666666
2022-04-23 21:00:00,9.958333333333334
2022-04-23 23:00:00,7.708333333333333
2022-04-24 01:00:00,8
2022-04-24 03:00:00,8.08695652173913
2022-04-24 05:00:00,7.708333333333333
2022-04-24 07:00:00,8.375
2022-04-24 09:00:00,10.958333333333334
2022-04-24 11:00:00,9.25
2022-04-24 13:00:00,9.916666666666666
2022-04-24 15:00:00,8.708333333333334
2022-04-24 17:00:00,10.291666666666666
2022-04-24 19:00:00,10.166666666666666
2022-04-24 21:00:00,8.583333333333334
2022-04-24 23:00:00,9.833333333333334
2022-04-25 01:00:00,7.083333333333333
2022-04-25 03:00:00,7.375
2022-04-25 05:00:00,9.083333333333334
2022-04-25 07:00:00,7.458333333333333
2022-04-25 09:00:00,9.25
2022-04-25 11:00:00,8.583333333333334
2022-04-25 13:00:00,8.083333333333334
2022-04-25 15:00:00,10.541666666666666
2022-04-25 17:00:00,8.125
2022-04-25 19:00:00,8
2022-04-25 21:00:00,8.416666666666666
2022-04-25 23:00:00,7.375
2022-04-26 01:00:00,8.25
2022-04-26 03:00:00,7.583333333333333
2022-04-26 05:00:00,7.791666666666667
2022-04-26 07:00:00,8.083333333333334
2022-04-26 09:00:00,9.541666666666666
2022-04-26 11:00:00,7.434782608695652
2022-04-26 13:00:00,8.541666666666666
2022-04-26 15:00:00,7.583333333333333
2022-04-26 17:00:00,7.166666666666667
2022-04-26 19:00:00,7.25
2022-04-26 21:00:00,7.521739130434782
2022-04-26 23:00:00,9.875
2022-04-27 01:00:00,9.25
2022-04-27 03:00:00,9.166666666666666
2022-04-27 05:00:00,9.125
2022-04-27 07:00:00,9.25
2022-04-27 09:00:00,8.583333333333334
2022-04-27 11:00:00,8.695652173913043
2022-04-27 13:00:00,7.25
2022-04-27 15:00:00,6.75
2022-04-27 17:00:00,7.708333333333333
2022-04-27 19:00:00,8
2022-04-27 21:00:00,9.416666666666666
2022-04-27 23:00:00,8.208333333333334
2022-04-28 01:00:00,7.416666666666667
2022-04-28 03:00:00,8.166666666666666
2022-04-28 05:00:00,7.166666666666667
2022-04-28 07:00:00,9.125
2022-04-28 09:00:00,6.541666666666667
2022-04-28 11:00:00,7.416666666666667
2022-04-28 13:00:00,7.166666666666667
2022-04-28 15:00:00,9.375
2022-04-28 17:00:00,6.125
2022-04-28 19:00:00,6.291666666666667
2022-04-28 21:00:00,6.916666666666667
2022-04-28 23:00:00,8.5
2022-04-29 01:00:00,7.958333333333333
2022-04-29 03:00:00,8.958333333333334
2022-04-29 05:00:00,9
2022-04-29 07:00:00,8.583333333333334
2022-04-29 09:00:00,8.291666666666666
2022-04-29 11:00:00,9.208333333333334
2022-04-29 13:00:00,9.166666666666666
2022-04-29 15:00:00,10.291666666666666
2022-04-29 17:00:00,10
2022-04-29 19:00:00,9.125
2022-04-29 21:00:00,8.375
2022-04-29 23:00:00,9.625
2022-04-30 01:00:00,9.458333333333334
2022-04-30 03:00:00,8.75
2022-04-30 05:00:00,9.375
2022-04-30 07:00:00,8.75
2022-04-30 09:00:00,8.5
2022-04-30 11:00:00,8.916666666666666
2022-04-30 13:00:00,7.695652173913044
2022-04-30 15:00:00,7.956521739130435
2022-04-30 17:00:00,8
2022-04-30 19:00:00,8.625
2022-04-30 21:00:00,9.833333333333334
2022-04-30 23:00:00,8.708333333333334
2022-05-01 01:00:00,8.666666666666666
2022-05-01 03:00:00,8.666666666666666
2022-05-01 05:00:00,8.166666666666666
2022-05-01 07:00:00,8.791666666666666
2022-05-01 09:00:00,8.333333333333334
2022-05-01 11:00:00,7.458333333333333
2022-05-01 13:00:00,6.333333333333333
2022-05-01 15:00:00,8.333333333333334
2022-05-01 17:00:00,7.458333333333333
2022-05-01 19:00:00,8.083333333333334
2022-05-01 21:00:00,6.291666666666667
2022-05-01 23:00:00,6.708333333333333
2022-05-02 01:00:00,6.166666666666667
2022-05-02 03:00:00,7.791666666666667
2022-05-02 05:00:00,7.458333333333333
2022-05-02 07:00:00,7.166666666666667
2022-05-02 09:00:00,7.416666666666667
2022-05-02 11:00:00,5.916666666666667
2022-05-02 13:00:00,6.708333333333333
2022-05-02 15:00:00,5.458333333333333
2022-05-02 17:00:00,7.291666666666667
2022-05-02 19:00:00,8.5
2022-05-02 21:00:00,8.083333333333334
2022-05-02 23:00:00,7.75
2022-05-03 01:00:00,6.291666666666667
2022-05-03 03:00:00,6.333333333333333
2022-05-03 05:00:00,6.3478260869565215
2022-05-03 07:00:00,7.083333333333333
2022-05-03 09:00:00,7.625
2022-05-03 11:00:00,7.041666666666667
2022-05-03 13:00:00,7.541666666666667
2022-05-03 15:00:00,6.833333333333333
2022-05-03 17:00:00,6.166666666666667
2022-05-03 19:00:00,8
2022-05-03 21:00:00,8.541666666666666
2022-05-03 23:00:00,6.375
2022-05-04 01:00:00,6.695652173913044
2022-05-04 03:00:00,6.916666666666667
2022-05-04 05:00:00,6.083333333333333
2022-05-04 07:00:00,7.3478260869565215
2022-05-04 09:00:00,7.5
2022-05-04 11:00:00,6.25
2022-05-04 13:00:00,7.25
2022-05-04 15:00:00,10
2022-05-04 17:00:00,5.708333333333333
2022-05-04 19:00:00,7.083333333333333
2022-05-04 21:00:00,6.5
2022-05-04 23:00:00,6.666666666666667
2022-05-05 01:00:00,5.958333333333333
2022-05-05 03:00:00,6.25
2022-05-05 05:00:00,4.416666666666667
2022-05-05 07:00:00,5.291666666666667
2022-05-05 09:00:00,4.833333333333333
2022-05-05 11:00:00,6.083333333333333
2022-05-05 13:00:00,7.083333333333333
2022-05-05 15:00:00,5.208333333333333
2022-05-05 17:00:00,5.416666666666667
2022-05-05 19:00:00,6.708333333333333
2022-05-05 21:00:00,5.833333333333333
2022-05-05 23:00:00,4.125
2022-05-06 01:00:00,3.7916666666666665
2022-05-06 03:00:00,3.125
2022-05-06 05:00:00,6.125
2022-05-06 07:00:00,4.791666666666667
2022-05-06 09:00:00,5.25
2022-05-06 11:00:00,4.041666666666667
2022-05-06 13:00:00,4.333333333333333
2022-05-06 15:00:00,5.125
2022-05-06 17:00:00,5.166666666666667
2022-05-06 19:00:00,5.583333333333333
2022-05-06 21:00:00,3.5833333333333335
2022-05-06 23:00:00,3.4583333333333335
2022-05-07 01:00:00,3.7083333333333335
2022-05-07 03:00:00,5.5
2022-05-07 05:00:00,4.458333333333333
2022-05-07 07:00:00,5.166666666666667
2022-05-07 09:00:00,3.25
2022-05-07 11:00:00,3.75
2022-05-07 13:00:00,2.8333333333333335
2022-05-07 15:00:00,2.9166666666666665
2022-05-07 17:00:00,4.208333333333333
2022-05-07 19:00:00,4.083333333333333
2022-05-07 21:00:00,5.166666666666667
2022-05-07 23:00:00,4.416666666666667
2022-05-08 01:00:00,3.625
2022-05-08 03:00:00,5.375
2022-05-08 05:00:00,1.9166666666666667
2022-05-08 07:00:00,3.0833333333333335
2022-05-08 09:00:00,4.666666666666667
2022-05-08 11:00:00,4.875
2022-05-08 13:00:00,4.041666666666667
2022-05-08 15:00:00,3.5833333333333335
2022-05-08 17:00:00,3.4166666666666665
2022-05-08 19:00:00,4.125
2022-05-08 21:00:00,4.708333333333333
2022-05-08 23:00:00,4.041666666666667
2022-05-09 01:00:00,3.125
2022-05-09 03:00:00,3.652173913043478
2022-05-09 05:00:00,3.782608695652174
2022-05-09 07:00:00,3.6666666666666665
2022-05-09 09:00:00,2.4166666666666665
2022-05-09 11:00:00,5
2022-05-09 13:00:00,4.130434782608695
2022-05-09 15:00:00,4.25
2022-05-09 17:00:00,2.4166666666666665
2022-05-09 19:00:00,3.5
2022-05-09 21:00:00,2.739130434782609
2022-05-09 23:00:00,2.5
2022-05-10 01:00:00,1.375
2022-05-10 03:00:00,3.2916666666666665
2022-05-10 05:00:00,4.043478260869565
2022-05-10 07:00:00,3.75
2022-05-10 09:00:00,2.125
2022-05-10 11:00:00,2.9583333333333335
2022-05-10 13:00:00,2.125
2022-05-10 15:00:00,2.625
2022-05-10 17:00:00,3.8333333333333335
2022-05-10 19:00:00,3.5833333333333335
2022-05-10 21:00:00,2.5
2022-05-10 23:00:00,2.7916666666666665
2022-05-11 01:00:00,2.347826086956522
2022-05-11 03:00:00,2.5
2022-05-11 05:00:00,1.75
2022-05-11 07:00:00,1.7083333333333333
2022-05-11 09:00:00,3
2022-05-11 11:00:00,3.125
2022-05-11 13:00:00,0.9130434782608695
2022-05-11 15:00:00,1.7083333333333333
2022-05-11 17:00:00,1.25
2022-05-11 19:00:00,2.5833333333333335
2022-05-11 21:00:00,1.5714285714285714

